iare_code,Indigenous Area name,Indigenous low-income family rate,Non-indigenous low-income family rate,Indigenous unemployment rate,Non-indigenous unemployment rate,Indigenous Primary-school dropout ASR_per_100,Non-indigenous Primary-school dropout ASR_per_100,Indigenous middle_school_participation rate,Non-indigenous middle_school_participation rate,Indigenous internet access rate,Non-indigenous internet access rate,Indigenous social engagement rate,Non-indigenous social engagement rate
IARE202013,Southern Grampians - Glenelg,12.54237288135593,6.858603823921743,16.666666666666668,5.043218705304397,51.983280258854876,35.80688921768782,73.33333333333333,86.23853211009175,69.85915492957746,74.64995234953449,74.01574803149606,86.37941006362058
IARE202012,South-West Central Victoria,10.663983903420524,6.674272675413577,10.869565217391305,4.200614978371523,43.652206683091,31.153425010077292,89.47368421052632,88.881069669247,76.79465776293823,79.1327044601154,79.81220657276995,89.7361455042268
IARE202014,Swan Hill,15.272727272727273,7.445442875481387,16.064257028112447,4.722414190278737,53.89586822239204,38.08866305781826,127.27272727272727,87.22466960352423,64.72303206997084,71.60583941605839,77.02702702702703,89.009364218827
IARE202015,Upper Goulburn Valley,11.983471074380166,8.415758591785414,9.004739336492891,4.647084612012275,47.53821511398664,32.63675810972146,100,85.65217391304348,72.9903536977492,75.85363140918696,72.38095238095238,88.8086642599278
IARE202016,Wallan - Seymour,10.256410256410255,5.980098541203748,13.596491228070176,5.542725173210162,51.525363051273104,36.82371046586534,100,86.26373626373626,81.25,82.50578660494287,85.08771929824562,88.1684906049969
IARE202017,Warrnambool,19.90521327014218,5.924056717135303,21.256038647342997,4.948617567898214,56.69528523871161,32.161493650263836,100,86.77248677248677,78.19548872180451,78.13576981646229,78.99159663865547,90.26244787834192
IARE201018,Whitehorse,19.62025316455696,7.600578459495981,9.803921568627452,6.965996618448243,37.178591921680784,18.95733683259713,100,95.00531349628055,83.11111111111111,86.47248188125118,83.09859154929578,94.59998228049969
IARE202018,Wimmera,16.216216216216218,7.4867637326273995,18.681318681318682,4.76345688210095,56.0359372560012,35.144670644171285,116.66666666666667,90.29126213592234,68.19484240687679,73.0829085055004,73.91304347826086,87.49731932232469
IARE202019,Wodonga,14.15929203539823,6.2905565310329035,15.580286168521463,4.87809938790331,54.815694787395685,34.53462851543603,78.72340425531915,88.3920894239037,74.73435655253837,78.79926452953873,80.57971014492755,90.00767165324127
IARE201019,Wyndham - Altona,8.876404494382022,6.661940122143861,14.719626168224298,7.681165198208614,45.372968622739485,28.542152199192536,85,88.69431643625192,83.72319688109162,86.2458215218297,75.66265060240964,87.77758038728015
IARE201020,Yarra Ranges,8.983050847457626,4.71838311784812,10.320284697508896,4.539184300252466,47.42085405422163,30.47695576021326,80.95238095238095,90.33105622700998,82.76877761413843,87.08561376075059,82.95454545454545,91.17814456459875
